venue_slug,filename,role,position,web_path,bytes
bravo-pickleball-vista-mall-bataan-balanga,bravo-pickleball-vista-mall-bataan-balanga-court.jpg,hero,0,images/venues/bravo-pickleball-vista-mall-bataan-balanga/bravo-pickleball-vista-mall-bataan-balanga-court.jpg,275924
bulacan-sports-complex,bulacan-sports-complex-pickleball-court-malolos.jpg,hero,0,images/venues/bulacan-sports-complex/bulacan-sports-complex-pickleball-court-malolos.jpg,598710
camsur-pickleball-club,camsur-pickleball-club-court-pili.jpg,hero,0,images/venues/camsur-pickleball-club/camsur-pickleball-club-court-pili.jpg,525626
casamor-la-union-bacnotan,casamor-la-union-bacnotan-pickleball-court.jpg,hero,0,images/venues/casamor-la-union-bacnotan/casamor-la-union-bacnotan-pickleball-court.jpg,123975
casamor-la-union-bacnotan,casamor-la-union-bacnotan-pickleball-court-2.jpg,gallery,1,images/venues/casamor-la-union-bacnotan/casamor-la-union-bacnotan-pickleball-court-2.jpg,225924
ccf-center-pickleball,ccf-center-pickleball-court-pasig.jpg,hero,0,images/venues/ccf-center-pickleball/ccf-center-pickleball-court-pasig.jpg,526984
ccf-center-pickleball,ccf-center-pickleball-court-pasig-2.jpg,gallery,1,images/venues/ccf-center-pickleball/ccf-center-pickleball-court-pasig-2.jpg,456531
celebrity-sports-club,celebrity-sports-club-pickleball-court-quezon-city.jpg,hero,0,images/venues/celebrity-sports-club/celebrity-sports-club-pickleball-court-quezon-city.jpg,201067
celebrity-sports-club,celebrity-sports-club-pickleball-court-quezon-city-2.jpg,gallery,1,images/venues/celebrity-sports-club/celebrity-sports-club-pickleball-court-quezon-city-2.jpg,264488
celebrity-sports-club,celebrity-sports-club-pickleball-court-quezon-city-3.jpg,gallery,2,images/venues/celebrity-sports-club/celebrity-sports-club-pickleball-court-quezon-city-3.jpg,238511
citywalk-badminton-sports-center,citywalk-badminton-sports-center-pickleball-court-malolos.jpg,hero,0,images/venues/citywalk-badminton-sports-center/citywalk-badminton-sports-center-pickleball-court-malolos.jpg,355101
conquest-sports,conquest-sports-pickleball-court-caloocan.jpg,hero,0,images/venues/conquest-sports/conquest-sports-pickleball-court-caloocan.jpg,38135
corinthian-gardens-pickleball-club,corinthian-gardens-pickleball-club-court-quezon-city.jpg,hero,0,images/venues/corinthian-gardens-pickleball-club/corinthian-gardens-pickleball-club-court-quezon-city.jpg,503569
cristy-hernandez-activity-center,cristy-hernandez-activity-center-pickleball-court-quezon-city.jpg,hero,0,images/venues/cristy-hernandez-activity-center/cristy-hernandez-activity-center-pickleball-court-quezon-city.jpg,87308
deca-mall-tondo-pickleball,deca-mall-tondo-pickleball-court-manila-tondo.jpg,hero,0,images/venues/deca-mall-tondo-pickleball/deca-mall-tondo-pickleball-court-manila-tondo.jpg,393834
dink-and-shot,dink-and-shot-pickleball-court-marikina.jpg,hero,0,images/venues/dink-and-shot/dink-and-shot-pickleball-court-marikina.jpg,683099
dink-and-shot,dink-and-shot-pickleball-court-marikina-2.jpg,gallery,1,images/venues/dink-and-shot/dink-and-shot-pickleball-court-marikina-2.jpg,79446
dink-and-shot,dink-and-shot-pickleball-court-marikina-3.jpg,gallery,2,images/venues/dink-and-shot/dink-and-shot-pickleball-court-marikina-3.jpg,607920
dink-drive-pickleball,dink-drive-pickleball-court-cavite.jpg,hero,0,images/venues/dink-drive-pickleball/dink-drive-pickleball-court-cavite.jpg,407590
dink-drive-pickleball,dink-drive-pickleball-court-cavite-2.jpg,gallery,1,images/venues/dink-drive-pickleball/dink-drive-pickleball-court-cavite-2.jpg,273430
dink-drive-pickleball,dink-drive-pickleball-court-cavite-3.jpg,gallery,2,images/venues/dink-drive-pickleball/dink-drive-pickleball-court-cavite-3.jpg,138860
dink-drive-pickleball,dink-drive-pickleball-court-cavite-4.jpg,gallery,3,images/venues/dink-drive-pickleball/dink-drive-pickleball-court-cavite-4.jpg,364488
divine-light-academy-las-pinas,divine-light-academy-las-pinas-pickleball-court-2.jpg,gallery,0,images/venues/divine-light-academy-las-pinas/divine-light-academy-las-pinas-pickleball-court-2.jpg,160795
dona-juana-subdivision-pickleball,dona-juana-subdivision-pickleball-court-pasig-2.jpg,gallery,0,images/venues/dona-juana-subdivision-pickleball/dona-juana-subdivision-pickleball-court-pasig-2.jpg,118176
dona-juana-subdivision-pickleball,dona-juana-subdivision-pickleball-court-pasig-3.jpg,gallery,1,images/venues/dona-juana-subdivision-pickleball/dona-juana-subdivision-pickleball-court-pasig-3.jpg,305800
dragonsmash,dragonsmash-pickleball-court-taguig.jpg,hero,0,images/venues/dragonsmash/dragonsmash-pickleball-court-taguig.jpg,77107
